Date,Open,High,Low,Close,Adj Close,Volume
2020-02-28,60.0,60.0,60.0,60.0,60.0,100
2020-03-02,60.0,60.0,60.0,60.0,60.0,100
2020-03-03,64.0,64.0,64.0,64.0,64.0,100
2020-03-04,58.0,58.0,58.0,58.0,58.0,500
2020-03-05,58.0,58.0,58.0,58.0,58.0,1000
2020-03-06,58.0,58.0,58.0,58.0,58.0,1000
2020-03-09,58.0,58.0,58.0,58.0,58.0,0
2020-03-10,58.0,58.0,58.0,58.0,58.0,0
2020-03-11,58.0,58.0,58.0,58.0,58.0,0
2020-03-12,58.0,58.0,58.0,58.0,58.0,0
2020-03-13,58.0,58.0,58.0,58.0,58.0,0
2020-03-16,58.0,58.0,58.0,58.0,58.0,0
2020-03-17,58.0,58.0,58.0,58.0,58.0,0
2020-03-18,58.0,58.0,58.0,58.0,58.0,0
2020-03-19,58.0,58.0,58.0,58.0,58.0,100
2020-03-20,58.0,58.0,58.0,58.0,58.0,0
2020-03-23,59.0,59.0,59.0,59.0,59.0,200
2020-03-24,59.0,59.0,59.0,59.0,59.0,0
2020-03-25,59.0,59.0,59.0,59.0,59.0,0
2020-03-26,59.0,59.0,59.0,59.0,59.0,0
2020-03-27,59.0,59.0,59.0,59.0,59.0,0
2020-03-30,58.0,58.0,58.0,58.0,58.0,600
2020-03-31,58.0,58.0,58.0,58.0,58.0,0
2020-04-01,58.0,58.0,58.0,58.0,58.0,0
2020-04-02,58.0,58.0,58.0,58.0,58.0,0
2020-04-03,58.0,58.0,58.0,58.0,58.0,0
2020-04-06,58.0,58.0,58.0,58.0,58.0,0
2020-04-07,58.0,58.0,58.0,58.0,58.0,0
2020-04-08,58.0,58.0,58.0,58.0,58.0,0
2020-04-09,53.0,53.0,53.0,53.0,53.0,200
2020-04-13,53.0,53.0,53.0,53.0,53.0,0
2020-04-14,53.0,53.0,53.0,53.0,53.0,0
2020-04-15,53.0,53.0,53.0,53.0,53.0,0
2020-04-16,53.0,53.0,53.0,53.0,53.0,100
2020-04-17,53.0,53.0,53.0,53.0,53.0,2500
2020-04-20,53.0,53.0,53.0,53.0,53.0,0
2020-04-21,53.0,53.0,53.0,53.0,53.0,0
2020-04-22,53.0,53.0,53.0,53.0,53.0,0
2020-04-23,53.0,53.0,53.0,53.0,53.0,0
2020-04-24,53.0,53.0,53.0,53.0,53.0,0
2020-04-27,53.0,53.0,53.0,53.0,53.0,0
2020-04-28,53.0,53.0,53.0,53.0,53.0,0
2020-04-29,53.0,53.0,53.0,53.0,53.0,0
2020-04-30,53.0,53.0,53.0,53.0,53.0,100
2020-05-01,53.0,53.0,53.0,53.0,53.0,0
2020-05-04,53.0,53.0,53.0,53.0,53.0,500
2020-05-05,53.0,53.0,53.0,53.0,53.0,1000
2020-05-06,53.0,53.0,53.0,53.0,53.0,1000
2020-05-07,53.0,53.0,53.0,53.0,53.0,0
2020-05-08,53.0,53.0,53.0,53.0,53.0,0
2020-05-11,51.0,51.0,51.0,51.0,51.0,1000
2020-05-12,51.0,51.0,51.0,51.0,51.0,1000
2020-05-13,51.0,51.0,51.0,51.0,51.0,0
2020-05-14,49.5,49.5,49.5,49.5,49.5,300
2020-05-15,49.5,49.5,49.5,49.5,49.5,0
2020-05-18,49.5,49.5,49.5,49.5,49.5,0
2020-05-19,45.0,45.0,45.0,45.0,45.0,100
2020-05-20,45.0,45.0,45.0,45.0,45.0,0
2020-05-21,45.0,45.0,45.0,45.0,45.0,0
2020-05-22,45.0,45.0,45.0,45.0,45.0,0
2020-05-26,45.0,45.0,45.0,45.0,45.0,0
2020-05-27,45.0,45.0,45.0,45.0,45.0,100
2020-05-28,49.5,49.5,49.5,49.5,49.5,100
2020-05-29,49.5,49.5,49.5,49.5,49.5,100
2020-06-01,49.5,49.5,49.5,49.5,49.5,0
2020-06-02,49.5,49.5,49.5,49.5,49.5,0
2020-06-03,49.5,49.5,49.5,49.5,49.5,0
2020-06-04,49.04999923706055,49.5,49.0,49.04999923706055,49.04999923706055,700
2020-06-05,49.04999923706055,49.04999923706055,49.04999923706055,49.04999923706055,49.04999923706055,0
2020-06-08,49.04999923706055,49.04999923706055,49.04999923706055,49.04999923706055,49.04999923706055,0
2020-06-09,49.04999923706055,49.04999923706055,49.04999923706055,49.04999923706055,49.04999923706055,0
2020-06-10,49.04999923706055,49.04999923706055,49.04999923706055,49.04999923706055,49.04999923706055,0
2020-06-11,49.04999923706055,49.04999923706055,49.04999923706055,49.04999923706055,49.04999923706055,0
2020-06-12,48.0,48.0,48.0,48.0,48.0,400
2020-06-15,48.0,48.0,48.0,48.0,48.0,0
2020-06-16,48.70000076293945,48.95000076293945,48.0,48.70000076293945,48.70000076293945,700
2020-06-17,48.70000076293945,48.70000076293945,48.70000076293945,48.70000076293945,48.70000076293945,0
2020-06-18,48.95000076293945,48.95000076293945,48.95000076293945,48.95000076293945,48.95000076293945,600
2020-06-19,48.95000076293945,48.95000076293945,48.95000076293945,48.95000076293945,48.95000076293945,500
2020-06-22,48.95000076293945,48.95000076293945,48.95000076293945,48.95000076293945,48.95000076293945,0
2020-06-23,48.0,48.0,48.0,48.0,48.0,300
2020-06-24,48.0,48.0,48.0,48.0,48.0,0
